Date,Open,High,Close,Low,Volume,Adj Close
2016-12-23,22.6,22.75,21.95,21.71,52864.62,21.95
2016-12-22,22.21,23.58,23.01,21.88,66441.57,23.01
2016-12-21,21.82,22.23,22.15,21.82,20351.35,22.15
2016-12-20,21.81,22.1,21.91,21.76,13262.68,21.91
2016-12-19,22.01,22.33,21.83,21.8,21990.76,21.83
2016-12-16,21.89,23.04,22.35,21.61,29840.0,22.35
2016-12-15,21.75,22.32,22.17,21.52,18052.5,22.17
2016-12-14,22.05,22.27,21.84,21.82,16061.08,21.84
2016-12-13,21.61,22.24,21.98,21.35,20343.45,21.98
2016-12-12,23.65,23.75,21.76,21.7,40603.66,21.76
2016-12-09,23.97,24.08,23.67,23.55,16580.38,23.67
2016-12-08,24.28,24.34,23.96,23.9,18180.78,23.96
2016-12-07,24.08,24.35,24.25,23.86,17705.96,24.25
2016-12-06,24.07,24.35,24.02,23.99,20029.0,24.02
2016-12-05,23.5,24.15,24.0,23.5,18856.5,24.0
2016-12-02,24.7,24.8,23.96,23.81,40548.89,23.96
2016-12-01,25.33,25.33,24.7,24.51,46052.78,24.7
2016-11-30,25.12,25.49,25.21,25.1,31314.57,25.21
2016-11-29,26.06,26.08,25.31,25.08,52750.73,25.31
2016-11-28,26.7,26.72,26.13,26.01,39177.37,26.13
2016-11-25,26.35,26.76,26.68,25.33,63334.3,26.68
2016-11-24,26.49,26.78,26.15,26.01,54256.26,26.15
2016-11-23,27.08,27.25,26.56,26.32,90395.69,26.56
2016-11-22,26.52,27.58,27.45,26.36,161738.0,27.45
2016-11-21,25.49,26.8,26.65,25.45,123140.57,26.65
2016-11-18,25.4,25.78,25.42,25.2,36772.98,25.42
2016-11-17,26.05,26.11,25.53,25.4,49015.36,25.53
2016-11-16,26.21,26.43,26.29,25.9,67564.43,26.29
2016-11-15,25.66,26.88,26.43,25.34,115189.95,26.43
2016-11-14,25.55,26.13,25.58,25.32,48254.28,25.58
2016-11-11,25.97,25.97,25.68,25.46,66519.17,25.68
2016-11-10,25.7,26.35,26.09,25.37,88246.39,26.09
2016-11-09,25.94,25.94,25.35,24.78,71033.25,25.35
2016-11-08,26.15,26.24,25.93,25.63,60363.87,25.93
2016-11-07,26.16,26.31,26.15,25.61,89425.72,26.15
2016-11-04,25.17,26.64,26.49,25.01,165096.38,26.49
2016-11-03,24.2,25.87,25.27,24.11,121047.36,25.27
2016-11-02,24.4,24.58,24.31,24.17,37282.65,24.31
2016-11-01,23.99,24.6,24.55,23.9,54792.64,24.55
2016-10-31,23.6,24.29,24.04,23.6,27048.79,24.04
2016-10-28,24.41,24.41,23.89,23.81,34790.5,23.89
2016-10-27,24.04,24.42,24.31,23.9,33736.18,24.31
2016-10-26,24.32,24.55,24.07,23.84,43070.12,24.07
2016-10-25,24.32,24.75,24.55,24.2,43667.23,24.55
2016-10-24,23.97,24.5,24.35,23.68,39227.32,24.35
2016-10-21,24.62,24.62,24.13,23.76,54168.25,24.13
2016-10-20,24.32,25.35,24.77,24.15,86047.3,24.77
2016-10-19,23.5,25.18,24.63,23.3,103720.42,24.63
2016-10-18,23.09,23.44,23.43,23.0,21893.06,23.43
2016-10-17,23.52,23.61,23.04,23.0,21864.42,23.04
2016-10-14,23.63,23.65,23.38,23.15,16400.23,23.38
2016-10-13,23.75,23.94,23.59,23.5,24479.59,23.59
2016-10-12,23.3,23.98,23.71,23.15,35815.85,23.71
2016-10-11,23.3,23.55,23.44,23.3,21718.61,23.44
2016-10-10,23.08,23.55,23.34,23.06,28571.3,23.34
2016-09-30,22.51,23.13,22.93,22.42,27484.21,22.93
2016-09-29,22.59,22.78,22.47,22.42,20950.68,22.47
2016-09-28,22.8,22.87,22.5,22.38,20491.52,22.5
2016-09-27,22.26,22.89,22.81,22.26,22485.16,22.81
2016-09-26,24.11,24.28,22.71,22.5,42056.43,22.71
2016-09-23,24.3,24.5,24.1,24.05,18816.0,24.1
2016-09-22,24.57,24.68,24.38,24.34,24928.2,24.38
2016-09-21,24.32,24.42,24.29,24.18,13505.56,24.29
2016-09-20,24.41,24.58,24.25,24.16,15343.15,24.25
2016-09-19,24.0,24.49,24.4,24.0,20064.23,24.4
2016-09-14,24.25,24.75,24.23,24.12,21374.96,24.23
2016-09-13,24.45,24.78,24.59,24.3,23437.07,24.59
2016-09-12,25.1,25.45,24.27,24.1,48117.18,24.27
2016-09-09,26.0,26.14,25.96,25.79,42700.82,25.96
2016-09-08,25.8,26.13,26.02,25.5,70156.88,26.02
2016-09-07,26.81,27.16,26.25,26.18,73244.13,26.25
2016-09-06,26.4,26.79,26.74,25.85,61893.46,26.74
2016-09-05,26.43,27.19,26.65,26.27,62795.33,26.65
2016-09-02,27.01,27.14,26.46,26.2,91608.45,26.46
2016-09-01,26.81,28.5,27.58,26.54,169656.19,27.58
2016-08-31,27.58,27.8,27.25,26.45,127492.39,27.25
