股票代码,股票名称,交易日期,股票行业,股票概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率,市销率,市现率,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600000,浦发银行,1999-11-10,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,29.5,29.8,27,27.75,27.75,1.14,1.775,174085055,4859102435,0.544016,8880000000,66877500000,0,0,\N,\N,\N,\N,2.820729,2.820729,2.820729,2.820729,2.820729,\N,0,0,0,\N,26.785714,26.785714,26.785714,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.28,1
sh600000,浦发银行,1999-11-11,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,27.58,28.38,27.53,27.71,27.71,1.13,-0.001441,29403491,821582199,0.091886,8867200000,66781100000,0,0,\N,\N,\N,\N,2.818697,2.818697,2.818697,2.818697,2.818697,\N,-0.000091,-0.000051,-0.000081,\N,25.928571,26.271429,25.242857,\N,\N,\N,\N,\N,\N,0,0,0,0.030631,0.288994
sh600000,浦发银行,1999-11-12,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,27.86,28.3,27.77,28.05,28.05,1.18,0.01227,15007963,421591623,0.046900,8976000000,67600500000,0,0,\N,\N,\N,\N,2.829539,2.829539,2.829539,2.829539,2.829539,1日、5日均线金叉；1日、10日均线金叉；1日、20日均线金叉；1日、30日均线金叉；1日、60日均线金叉；,0.000956,0.000362,0.001188,金叉,31.409774,28.705382,36.81856,金叉,\N,\N,\N,\N,\N,66.053644,62.755744,61.179316,0.019127,0.206062
sh600000,浦发银行,1999-11-15,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,28.2,28.25,27.7,27.75,27.75,1.14,-0.010695,11921071,332952812,0.037253,8880000000,66877500000,0,0,\N,\N,\N,\N,2.827337,2.827337,2.827337,2.827337,2.827337,1日、5日均线死叉；1日、10日均线死叉；1日、20日均线死叉；1日、30日均线死叉；1日、60日均线死叉；,0.000307,0.000343,-0.000072,死叉,29.489011,29.030889,30.405254,\N,\N,\N,\N,\N,\N,37.727545,37.753157,37.65734,0.019608,0.206947
sh600000,浦发银行,1999-11-16,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,27.88,27.97,26.48,26.55,26.55,0.96,-0.043243,23223120,628908296,0.072572,8496000000,63985500000,0,0,\N,\N,\N,\N,2.801621,2.801621,2.801621,2.801621,2.801621,\N,-0.004905,-0.001218,-0.007374,\N,18.977984,25.171717,6.590517,死叉,\N,\N,\N,\N,\N,11.957554,13.287557,13.897251,0.053694,0.457796
sh600000,浦发银行,1999-11-17,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,26.5,27.18,26.37,27.18,27.18,1.05,0.023729,10052566,268995055,0.031414,8697600000,65503800000,0,0,\N,\N,\N,\N,2.790034,2.795149,2.795149,2.795149,2.795149,\N,-0.005208,-0.0023,-0.005817,\N,20.672471,23.527632,14.962149,\N,\N,\N,\N,\N,\N,36.191339,34.046935,33.091054,0.030508,0.560918
sh600000,浦发银行,1999-11-18,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,27.2,27.58,26.78,27.02,27.02,1.03,-0.005887,8446529,229577879,0.026395,8646400000,65118200000,0,0,\N,\N,\N,\N,2.776006,2.788204,2.788204,2.788204,2.788204,\N,-0.00605,-0.003249,-0.005602,\N,20.062776,22.300881,15.586565,\N,\N,\N,\N,\N,\N,33.954742,32.501115,31.807886,0.029433,0.615177
sh600000,浦发银行,1999-11-19,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,27.5,27.53,26.8,26.88,26.88,1.01,-0.005181,5374994,145887121,0.016797,8601600000,64780800000,0,0,\N,\N,\N,\N,2.752221,2.781215,2.781215,2.781215,2.781215,\N,-0.007193,-0.004197,-0.005993,\N,18.261156,20.899631,12.984204,\N,\N,\N,\N,\N,\N,31.726507,31.043889,30.63816,0.027017,0.455367
sh600000,浦发银行,1999-11-22,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,26.88,26.95,26.3,26.45,26.45,0.94,-0.015997,5535421,147086153,0.017298,8464000000,63744500000,0,0,\N,\N,\N,\N,2.725793,2.770924,2.770924,2.770924,2.770924,\N,-0.010044,-0.005547,-0.008994,\N,13.478261,18.359774,3.715236,\N,\N,\N,\N,\N,\N,24.663506,25.969675,26.363304,0.024182,0.525854
sh600000,浦发银行,1999-11-23,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,26.45,26.55,26.1,26.45,26.45,0.94,0,3843966,101224493,0.012012,8464000000,63744500000,0,0,\N,\N,\N,\N,2.72376,2.76269,2.76269,2.76269,2.76269,\N,-0.011921,-0.006975,-0.00989,\N,14.113482,16.919364,8.501718,\N,\N,\N,\N,\N,\N,24.911112,26.278209,26.688846,0.017013,0.57798
